GEO_ID,County,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0500000US01123,Tallapoosa County, Alabama,26642,26938,27192,27362,28193,29453,30132,31116,32629,35137,35821
0500000US01125,Tuscaloosa County, Alabama,30348,29806,29811,30201,30816,30552,30732,31561,32113,33035,34770
0500000US01127,Walker County, Alabama,32566,33408,33319,32115,32078,31750,31771,32017,35332,36650,39504
0500000US01129,Washington County, Alabama,40443,41384,42121,39701,40159,34443,34299,37721,40152,44035,43237
0500000US01131,Wilcox County, Alabama,23942,26176,27951,26389,28790,27128,26806,32528,30930,31366,37221
0500000US01133,Winston County, Alabama,24926,25807,26107,25653,25453,25647,26626,28294,29479,31238,33042
0500000US02013,Aleutians East Borough, Alaska,20518,19063,21256,22109,24175,26295,30821,31551,32374,35276,35921
0500000US02016,Aleutians West Census Area, Alaska,21075,21863,25419,26403,30493,31687,36139,38025,42135,48096,52120
0500000US02020,Anchorage Municipality, Alaska,44354,44796,44646,44811,44902,44177,45507,46415,47063,47764,49152
0500000US02050,Bethel Census Area, Alaska,21126,20436,19839,18793,20041,19472,20119,20731,22154,22356,23005
0500000US02060,Bristol Bay Borough, Alaska,52273,51776,60208,55556,55625,50417,50707,45714,49306,50893,59500
0500000US02068,Denali Borough, Alaska,66429,64750,61011,52885,56771,50833,51645,35586,35234,31973,56490
0500000US02070,Dillingham Census Area, Alaska,21399,20324,21186,19180,18977,20405,26136,27016,30115,31935,64263
0500000US02090,Fairbanks North Star Borough, Alaska,39874,41092,42357,42266,42317,42411,42250,44502,45062,46469,31619
0500000US02100,Haines Borough, Alaska,25774,26053,25872,33667,32500,40104,31528,48938,47845,50556,35276
0500000US02105,Hoonah-Angoon Census Area, Alaska,30326,30321,26795,27477,29375,30679,38750,40896,42083,42766,46632
0500000US02110,Juneau City and Borough, Alaska,40015,43399,46274,45483,48040,49427,49510,49003,50479,47568,49111
0500000US02122,Kenai Peninsula Borough, Alaska,41363,41995,42972,44165,45662,45041,45219,44694,45021,45003,46538
