GEO_ID,County,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0500000US01123,Tallapoosa County, Alabama,23784,24464,25022,25800,26388,26642,27113,28650,29465,30192,30660
0500000US01125,Tuscaloosa County, Alabama,23767,23874,23818,24582,24944,24818,25575,26627,27204,28865,30325
0500000US01127,Walker County, Alabama,23939,24848,25067,24119,23784,23892,24639,25858,27918,30630,32415
0500000US01129,Washington County, Alabama,28614,28799,29553,27229,28257,26272,26449,29375,29260,30911,35339
0500000US01131,Wilcox County, Alabama,18579,20343,22044,22637,22133,21569,21696,23966,25297,25086,26602
0500000US01133,Winston County, Alabama,20413,20482,21230,21599,21625,22006,23050,23869,24817,26223,27706
0500000US02013,Aleutians East Borough, Alaska,20469,19281,20745,21727,22654,24063,26826,28108,30056,30173,31911
0500000US02016,Aleutians West Census Area, Alaska,21980,22164,25875,26564,28672,30273,31948,32271,35156,39040,47064
0500000US02020,Anchorage Municipality, Alaska,36583,37533,37977,38917,39663,39230,40129,40981,41250,42300,42906
0500000US02050,Bethel Census Area, Alaska,20581,20231,19984,19304,20181,20004,20292,21654,22645,22470,25678
0500000US02060,Bristol Bay Borough, Alaska,45172,43977,47404,46908,46842,44135,45242,44038,45125,44583,51141
0500000US02068,Denali Borough, Alaska,50121,40446,41352,32500,34615,31505,34250,24725,24167,23417,41780
0500000US02070,Dillingham Census Area, Alaska,25920,25425,24450,21728,21328,22212,25694,26996,28161,30000,51699
0500000US02090,Fairbanks North Star Borough, Alaska,32274,34269,35015,34492,35907,35795,36608,37573,38518,39507,24492
0500000US02100,Haines Borough, Alaska,22089,25683,25094,27005,27348,30678,27100,35652,36710,37088,31434
0500000US02105,Hoonah-Angoon Census Area, Alaska,23531,25633,23799,24639,24430,25591,30129,30573,30980,30466,39837
0500000US02110,Juneau City and Borough, Alaska,35084,37770,39845,40267,42018,41973,42408,43584,44604,44264,37708
0500000US02122,Kenai Peninsula Borough, Alaska,29912,30745,31466,32193,33225,32837,35186,35351,35716,36079,31500
0500000US02130,Ketchikan Gateway Borough, Alaska,31995,32594,34046,34640,34885,33699,35075,35682,36473,39072,46231
0500000US02150,Kodiak Island Borough, Alaska,28612,26627,27373,26938,30356,30374,32376,32403,34227,32805,38295
0500000US02164,Lake and Peninsula Borough, Alaska,18672,21275,21781,20817,20233,12786,13125,13633,14179,16021,40682
0500000US02170,Matanuska-Susitna Borough, Alaska,32693,35398,36465,36793,37805,21192,20762,21618,23194,22317,32239
0500000US02180,Nome Census Area, Alaska,21844,21738,22326,22992,22720,37677,36673,37077,38670,38524,17650
0500000US02185,North Slope Borough, Alaska,20592,40285,43347,51288,57631,23108,23529,24910,27141,28271,25066
0500000US02188,Northwest Arctic Borough, Alaska,23534,22669,23918,23614,26460,60152,56913,60072,58673,60171,39973
0500000US02195,Petersburg Census Area, Alaska,31786,30296,27519,28962,29518,26802,27014,29497,31100,31476,31117
0500000US02198,Prince of Wales-Hyder Census Area, Alaska,26038,26213,26060,25385,22932,34350,31444,30723,31316,31706,56108
0500000US02220,Sitka City and Borough, Alaska,32527,34165,32986,33766,35177,22862,25172,25360,27389,28727,35160
0500000US02230,Skagway Municipality, Alaska,30208,29891,31654,31556,34387,35000,37044,38259,40204,40687,30870
0500000US02240,Southeast Fairbanks Census Area, Alaska,33936,36221,35540,35347,36752,34350,35117,35705,36157,33673,30335
0500000US02261,Valdez-Cordova Census Area, Alaska,33759,33197,33622,34850,35303,35799,36085,35350,38698,39846,41955
0500000US02270,Wade Hampton Census Area, Alaska,11777,12100,12132,12637,12820,34769,36250,39268,41471,42681,41250
0500000US02275,Wrangell City and Borough, Alaska,26519,26865,28472,29044,30671,30909,31676,32319,35897,36656,41190
0500000US02282,Yakutat City and Borough, Alaska,34792,39028,41927,36125,32788,33958,32353,33646,31750,31731,40806
0500000US02290,Yukon-Koyukuk Census Area, Alaska,15865,17035,17262,17004,19052,20271,19798,20072,20562,21573,31477
