state,county,House Price 2012,House Price 2013,House Price 2014,House Price 2015,House Price 2016,House Price 2017,House Price 2018,House Price 2019,House Price 2020,House Price 2021,House Price 2022,House Price 2023,House Price 2024,House Price 2025,Gender_2012,Gender_2013,Gender_2014,Gender_2015,Gender_2016,Gender_2017,Gender_2018,Gender_2019,Gender_2020,Gender_2021,Gender_2022,Gender_2023,Gender_2024,Gender_2025,Gender,2012_Ratio,2013_Ratio,2014_Ratio,2015_Ratio,2016_Ratio,2017_Ratio,2018_Ratio,2019_Ratio,2020_Ratio,2021_Ratio,2022_Ratio,2023_Ratio,2024_Ratio,2025_Ratio,Gender_2012_diff,Gender_2013_diff,Gender_2014_diff,Gender_2015_diff,Gender_2016_diff,Gender_2017_diff,Gender_2018_diff,Gender_2019_diff,Gender_2020_diff,Gender_2021_diff,Gender_2022_diff,Gender_2023_diff,Gender_2024_diff,Gender_2025_diff
TX,Titus County,241226.7627,241226.7627,241226.7627,241226.7627,241226.7627,241226.7627,241226.7627,241226.7627,241226.7627,241226.7627,241226.7627,241226.7627,352673.2943,353527.231,18381,18853,20192,20041,20123,21124,21454,22588,20833,21168,21503,21838,22174,22509,female,13.1237018,12.79513938,11.94665029,12.03666298,11.98761431,11.41955892,11.24390616,10.67942105,11.57906987,11.39582212,11.21828409,11.046193,15.90481168,15.70603896,0.272759644,0.287840441,0.250343419,0.266273706,0.27085296,0.318272768,0.32392147,0.360602372,0.448541479,0.457522872,0.465949732,0.473871877,0.481322074,0.488362049
MN,Sherburne County,140000,163339,140464,185100,150791,110000,177718,189232,294255,368650,369900,362565.9196,374605.4808,389923.8372,35726,35896,36187,36289,37048,38799,40545,41670,48557,49523,50489,51456,52422,53389,total,3.918714662,4.550339871,3.881614945,5.100719226,4.070152235,2.835124617,4.383228512,4.541204704,6.05999135,7.444015912,7.326348313,7.046134942,7.145959345,7.303448973,0.397154004,0.401455754,0.353095968,0.370085816,0.32960039,0.328258558,0.338557736,0.366414882,0.324794944,0.319878644,0.31512945,0.310554073,0.306158742,0.301903273
MN,Sherburne County,140000,163339,140464,185100,150791,110000,177718,189232,294255,368650,369900,362565.9196,374605.4808,389923.8372,44343,44513,43702,44514,45094,47030,48618,51499,59496,60648,61800,62952,64104,65256,male,3.157206323,3.669467347,3.214132076,4.158242351,3.343926021,2.338932596,3.655395121,3.674479116,4.945794675,6.078518665,5.985436893,5.759402713,5.843714601,5.975294796,0.397154004,0.401455754,0.353095968,0.370085816,0.32960039,0.328258558,0.338557736,0.366414882,0.324794944,0.319878644,0.31512945,0.310554073,0.306158742,0.301903273
MN,Sherburne County,140000,163339,140464,185100,150791,110000,177718,189232,294255,368650,369900,362565.9196,374605.4808,389923.8372,26732,26643,28271,28040,30231,31592,32158,32629,40172,41248,42325,43402,44478,45555,female,5.237168936,6.130653455,4.968483605,6.60128388,4.987959379,3.48189415,5.526400896,5.799503509,7.324878024,8.937403026,8.739515653,8.353668485,8.422264508,8.559408126,0.397154004,0.401455754,0.353095968,0.370085816,0.32960039,0.328258558,0.338557736,0.366414882,0.324794944,0.319878644,0.31512945,0.310554073,0.306158742,0.301903273
UT,Box Elder County,168891,177959,196237,119225,108279,236301,135928,229248,206445,236500,266634,243393.9545,262337.3482,267019.7304,30277,30035,30182,29483,28495,29463,30739,31464,36332,36810,37289,37768,38247,38726,total,5.578194669,5.925054104,6.501789146,4.043855781,3.799929812,8.020262702,4.42200462,7.28604119,5.682180997,6.424884542,7.15047333,6.444449124,6.859030727,6.895102267,0.51886282,0.542890368,0.559769127,0.580607103,0.592602658,0.577418006,0.564854663,0.56263333,0.563447535,0.569689854,0.575729576,0.581557462,0.587228489,0.59269797
UT,Box Elder County,168891,177959,196237,119225,108279,236301,135928,229248,206445,236500,266634,243393.9545,262337.3482,267019.7304,40662,40417,40715,40685,40474,40643,41593,43595,50262,51105,51948,52791,53635,54478,male,4.153534012,4.403072964,4.819771583,2.930441195,2.675273015,5.814063922,3.268049912,5.2585847,4.107377343,4.627727228,5.132709633,4.610519871,4.891159657,4.901423151,0.51886282,0.542890368,0.559769127,0.580607103,0.592602658,0.577418006,0.564854663,0.56263333,0.563447535,0.569689854,0.575729576,0.581557462,0.587228489,0.59269797
UT,Box Elder County,168891,177959,196237,119225,108279,236301,135928,229248,206445,236500,266634,243393.9545,262337.3482,267019.7304,19564,18475,17924,17063,16489,17175,18099,19067,21942,21991,22040,22090,22139,22189,female,8.632743815,9.632422192,10.94828163,6.98734103,6.566741464,13.75842795,7.510249185,12.02328631,9.408668307,10.75439953,12.0977314,11.01828676,11.84955726,12.03387852,0.51886282,0.542890368,0.559769127,0.580607103,0.592602658,0.577418006,0.564854663,0.56263333,0.563447535,0.569689854,0.575729576,0.581557462,0.587228489,0.59269797
IN,Dubois County,109000,225000,225000,225000,225000,270000,188250,172652,236580,231750,257706,262988.4545,265828.0192,272375.5819,30229,30066,30760,31067,31849,33000,34111,34894,24939,25030,25121,25213,25304,25396,total,3.605808991,7.48353622,7.314694408,7.242411562,7.064586015,8.181818182,5.518747618,4.947899352,9.486346686,9.258889333,10.25858843,10.43066888,10.5053754,10.7251371,0.385897365,0.359567555,0.358559199,0.371003101,0.368138682,0.359936016,0.317650781,0.353902126,0.334886711,0.331227869,0.327612413,0.324049917,0.320539225,0.317079216
IN,Dubois County,109000,225000,225000,225000,225000,270000,188250,172652,236580,231750,257706,262988.4545,265828.0192,272375.5819,36362,35704,36563,37404,39515,40635,41086,42054,31115,31347,31580,31813,32046,32279,male,2.997634894,6.301814923,6.153762,6.015399423,5.694040238,6.644518272,4.581852699,4.105483426,7.603406717,7.393051967,8.160417986,8.266697718,8.295201248,8.438166669,0.385897365,0.359567555,0.358559199,0.371003101,0.368138682,0.359936016,0.317650781,0.353902126,0.334886711,0.331227869,0.327612413,0.324049917,0.320539225,0.317079216
IN,Dubois County,109000,225000,225000,225000,225000,270000,188250,172652,236580,231750,257706,262988.4545,265828.0192,272375.5819,22330,22866,23453,23527,24968,26009,28035,27171,20695,20964,21234,21504,21774,22044,female,4.881325571,9.839937024,9.593655396,9.563480257,9.011534764,10.38102195,6.71482076,6.354274778,11.4317468,11.05466514,12.13647923,12.22974584,12.20850644,12.35599628,0.385897365,0.359567555,0.358559199,0.371003101,0.368138682,0.359936016,0.317650781,0.353902126,0.334886711,0.331227869,0.327612413,0.324049917,0.320539225,0.317079216
IN,Montgomery County,163023,69000,88123,76807,120231,100337,93635,111033,147435,177091,169000,157300.0374,157299.7013,157299.7013,25438,25951,25929,27561,29230,30689,31482,32046,22552,22907,23262,23618,23973,24328,total,6.408640616,2.658857077,3.39862702,2.786800189,4.113274034,3.269477663,2.974239248,3.464800599,6.537557645,7.730868294,7.265067492,6.660176027,6.561535949,6.465788445,0.379910445,0.360891736,0.36318225,0.342512909,0.328134322,0.291167685,0.276985356,0.313946089,0.239235165,0.224002072,0.209052593,0.194378881,0.179973375,0.165793133
IN,Montgomery County,163023,69000,88123,76807,120231,100337,93635,111033,147435,177091,169000,157300.0374,157299.7013,157299.7013,31489,32162,32631,33698,35199,36491,36807,39287,26777,27031,27285,27539,27793,28047,male,5.177141224,2.145388968,2.700591462,2.279274734,3.415750447,2.749636897,2.543945445,2.826202052,5.506031296,6.551403944,6.193879421,5.711900846,5.659687738,5.608432321,0.379910445,0.360891736,0.36318225,0.342512909,0.328134322,0.291167685,0.276985356,0.313946089,0.239235165,0.224002072,0.209052593,0.194378881,0.179973375,0.165793133
IN,Montgomery County,163023,69000,88123,76807,120231,100337,93635,111033,147435,177091,169000,157300.0374,157299.7013,157299.7013,19526,20555,20780,22156,23649,25866,26612,26953,20371,20976,21581,22186,22791,23397,female,8.349021817,3.356847482,4.240760346,3.466645604,5.083978181,3.879107709,3.518525477,4.119504322,7.237494477,8.442553394,7.830962421,7.090058478,6.901834114,6.723071389,0.379910445,0.360891736,0.36318225,0.342512909,0.328134322,0.291167685,0.276985356,0.313946089,0.239235165,0.224002072,0.209052593,0.194378881,0.179973375,0.165793133
IN,Noble County,212750,212750,212750,212750,212750,212750,212750,212750,156243,172767,215138,173396.3743,173396.3743,173396.3743,28225,28595,28963,29432,28822,30503,31531,32484,35980,36637,37295,37953,38611,39269,total,7.537643933,7.440111908,7.345578842,7.228526774,7.381514121,6.974723798,6.747328026,6.549378155,4.342495831,4.715642656,5.768548063,4.568713259,4.490854272,4.41560453,0.407413754,0.390541872,0.416076035,0.417795591,0.405637288,0.401308835,0.400642913,0.383540633,0.387453534,0.38716314,0.386876024,0.386600399,0.386335589,0.386080968
